"PPI score lower bound","PPI score upper bound","Total Below the National Poverty Line","Total Below the National Food Poverty Line","Total Below the USAID ""Extreme"" Poverty Line","Total Below the $1.25/Day/PPP Line","Total Below the $2.50/Day/PPP Line","Total Below the $3.75/Day/PPP Line"
0,4,66.7,66.7,66.7,66.7,66.7,66.7
5,9,100,100,81,42.9,95.2,100
10,14,97.3,89.4,70.7,55.2,86.7,94.7
15,19,97,93.4,77.4,61.1,88.8,94.9
20,24,94.3,89,63.7,45,78.9,91.2
25,29,93.1,83.7,62.1,39.2,77.2,89.7
30,34,89.8,76.4,55.8,32.9,70.1,86
35,39,79.9,61.8,38.7,20,51.5,72.1
40,44,76.3,53.6,38.3,14.6,48.2,68.5
45,49,68.7,39.2,28.1,10.1,34.4,58.8
50,54,57,30.4,22.4,8.1,27.6,46.5
55,59,50.6,20.2,16.6,4.2,19.9,40.9
60,64,38.2,11.5,11.8,2.6,13.5,30.5
65,69,28,6.5,6.8,2.7,7.4,20.1
70,74,21,5.3,5.2,2.9,5.7,15.5
75,79,21.1,5.3,5.8,3.3,6.6,16.2
80,84,11.4,4.9,4.9,3.9,5.7,8.5
85,89,9.9,3.8,3.8,1.5,3.8,6.2
90,94,12.2,10.4,10.4,7,10.4,12.2
95,100,2.7,0,0,0,0,2.7
