"PPI score lower bound","PPI score upper bound","Total Below the National Poverty Line","Total Below the 150% of the National Poverty Line","Total Below the 200% of the National Poverty Line","Total Below the USAID ""Extreme"" Poverty Line","Total Below the $2.50/Day/2005 PPP Line","Total Below the $3.75/Day/2005 PPP Line","Total Below the $5.00/Day/2005 PPP Line","Total Below the Laeken Poverty Line"
0,4,77.9,100,100,77.9,77.9,100,100,100
5,9,68.1,100,100,57.3,55.6,92.5,100,87.6
10,14,50.2,82.8,97.1,45.3,45.3,72.9,93,78.5
15,19,46.7,85.3,96.2,35.2,34.9,74.3,92.3,79.9
20,24,32.1,77.4,95.6,18.1,16,59.6,89.4,62.6
25,29,25.1,69.3,91.5,10.3,10.1,45.1,76.7,56.6
30,34,14.6,55.6,85.1,4.7,4.3,28.8,56.9,49.1
35,39,8.8,43.5,77.7,1.9,1.6,16.9,45.6,33.1
40,44,4.2,31,68,0.7,0.7,9.4,33.1,29.3
45,49,2.5,17.8,53.9,0.4,0.4,5.5,20.4,14.3
50,54,0.8,11.9,42.8,0.2,0.2,1.4,13.1,10
55,59,0.1,6.3,30.3,0,0,0.7,6.7,5.9
60,64,0.1,3.2,21.4,0.1,0.1,0.1,4.6,4.9
65,69,0,0.7,10.6,0,0,0,1.1,2.2
70,74,0,0.8,5.6,0,0,0.6,0.8,3.2
75,79,0,0,2.4,0,0,0,0,0.3
80,84,0,0,0,0,0,0,0,0
85,89,0,0,0,0,0,0,0,0
90,94,0,0,0,0,0,0,0,0
95,100,0,0,0,0,0,0,0,0
