"PPI score lower bound","PPI score upper bound","Total Below the National Poverty Line","Total Below the National Food Poverty Line","Total Below the USAID ""Extreme"" Poverty Line","Total Below the $1.25/Day/2005 PPP Line","Total Below the $2.50/Day/2005 PPP Line","Total Below the $3.00/Day/2005 PPP Line","Total Below the $4.00/Day/2005 PPP Line"
0,4,86.4,44,47.4,39.8,92.2,92.2,100
5,9,60.8,29.4,35.1,25.3,81.1,90.5,95.8
10,14,59.4,23.3,29.6,19.2,81.9,88.2,97.3
15,19,47.6,21.6,29.2,16.4,70.6,84,94.5
20,24,36.3,10.8,16.8,8.6,61,75.5,92.7
25,29,32.8,8,15.1,7,59.5,74.4,87.2
30,34,21.6,5.2,10.4,4.2,42.8,56.9,78.7
35,39,19.5,5.3,9.1,5.1,37.3,52.5,73.7
40,44,10.8,3,3.4,1.9,25.2,43.3,69.2
45,49,6.8,1,1.5,1,20.1,33.1,52.6
50,54,3.9,0.3,0.6,0.3,12.5,22.4,46
55,59,4.4,1,1.6,1,17.9,26.8,45.8
60,64,0.8,0,0,0,3.5,8.3,29
65,69,0.1,0,0.1,0,2.3,5.7,20.1
70,74,0,0,0,0,1.5,2.8,5.3
75,79,0,0,0,0,0,0,2.8
80,84,0,0,0,0,0,0,6.5
85,89,0,0,0,0,0,4,11.5
90,94,0,0,0,0,0,0,0
95,100,0,0,0,0,0,0,0
